question,answer,category
WHat valve disease do you think of in pregnant women with sudden cardiovascular collapse during labor?,"Mitral Stenosis, high output during labor causes LA enlargement, AFib and arrhythmia.",Cardiology
"Treatment for decompensating patient with diastolic murmur, opening snap","Cardiovert, suspect mitral stenosis and Afib.",Cardiology
What valve pathology do you consider in new MI followed by hypotension and new murmur?,Mitral Regurgitation 2/2 ruptured cordae tendineae/papillary muscle; Tx decrease afterload and cardiac surgery,Cardiology
What are the most likely causes and signs/symptoms of Right and Left sided Heart Failure?,"Right: MC 2/2 L-sided failure, lung disease (COPD, sleep apnea, asthma), PE. Symptoms include JVD, peripheral edema, hepatic congestion; Left: 2/2 ischemia, valves, HTN, symptoms include SOB, orthopnea, PND, potential R-sided failure",Cardiology
What distinguishes systolic vs diastolic heart failure?,Systolic: failed forward flow; Diastolic: failed filling,Cardiology
What is the general approach for treatment decompensated heart failure?,"Decrease LVEDV to improve SV and CO (Starling curve); Reduce preload with nitroglycerin and diuretics (Lasix; caution if diastolic failure), BiPAP; consider afterload reduction (nitroglycerin); give inotropes for shock",Cardiology
What are classic causes of high output cardiac failure?,"Hyperthyroidism, Beriberi, AV fistula, Paget's dz, severe anemia, pregnancy",Cardiology
What are classic CXR findings with heart failure?,"Enlarged cardiac silhoutte, bilateral fluffy infiltrates, Kerly B lines, blunted costo-vertebral angle (effusion).",Cardiology
What does BiPAP help patients with heart failure?,"Decreases work of breathing, decreases preload (positive pressure increases intrathoracic pressure and decreases venous return).",Cardiology
What is the most common cause of acute Right Heart Failure (Cor Pulmonale)?,Pulmonary Embolism; Left heart failure is most common chronic cause,Cardiology
"Etiology, Dx and Tx of Dilated Cardiomyopathy","Etiology: H/o HTN or ischemia. Dx: cardiomegaly on CXR, low EF on echo; Tx underlying cause/CHF/dysrhythmias, anticoagulate if mural thrombus, transplant if severe",Cardiology
"Etiology, Dx and Tx of Restrictive Cardiomyopathy","Etiology: fibrosis, radiation, TB causing stiffness; Dx: normal heart on CXR, poor filling on echo; Tx underlying cause/CHF/dysrhythmias",Cardiology
"SSx, Dx and Tx of Hypertrophic Cardiomyopathy","(Classically with septal hypertrophy) SSx: severe symptoms/syncope with exercise. Dx: EKG with LVH (tall QRS, needle-like Q waves); Tx: avoid exertion, beta blockers (slow rate and ↑ ventricular filling), AICD for ventricular arrhythmias, surgical ablation",Cardiology
Describe the typical mumur of Hypertrophic Obstructive Cardiomyopathy (HOCM),"Harsh, systolic crescendo-decrescendo murmur; ↑ with Valsalva, standing up (↓ LV blood volume); ↓ squatting, trendelenberg (↑ LV blood volume)",Cardiology
What is the typical time frame for developing peripartum cardiomyopathy?,Last trimester to 5 months postpartum,Cardiology
What are the classic clinical clues for diagnosis of Pericarditis?,"Triad: fever + dyspnea + chest pain (pleuritic chest pain radiating to neck, worse with laying flat), recent viral syndrome; exam- intermittent friction rub, clear lungs; may have evidence of pericardial effusion/ tamponade; unlikely to have trop leak",Cardiology
What are classic EKG changes with Pericarditis?,"PR depression (most specific), PR segment elevation (aVR), diffuse STE, TW flattening followed by TW inversion",Cardiology
What is the appropriate treatment for Pericarditis?,"Must get Echo to r/o pericardial effusion; NSAIDS, ± colchicine (↓ recurrent pericarditis)",Cardiology
What are the classic clinical clues for diagnosis of Myocarditis?,"Dyspnea = most common sx, chest pain, viral prodrome, CHF sx (wet lungs, edema), arrhythmias, *unresolving sinus tachycardia*; usually (+) troponin; Echo usually with global hypokinesis and dilated chambers",Cardiology
What are classic EKG changes with Myocarditis?,"Sinus tachycardia, non-specific STE; can be similar to pericarditis",Cardiology
What is the appropriate treatment for Myocarditis?,"Supportive care, avoid early NSAIDs or steroids, ICU admit if severe/ CHF",Cardiology
What are the most common causes of Myocarditis?,"Idiopathic (most common overall), Parvovirus (most common viral cause), Chagas disease (most common worldwide)",Cardiology
"What are the collective signs of JVD, decreased heart sounds, and hypotension called and what does it represent?","Beck's Triad of Pericardial Tamponade; Rx- IVF to increase preload, pericardiocentesis ± surgery",Cardiology
What are the clinical features of hypertensive emergency?,"CNS: dizziness, n/v, confusion, weakness, encephalopathy, ICH, SAH, CVA; Eyes: ocular hemorrhage, papilledema, vision loss; Heart: ACS, Ao dissection, shock; Kidneys: hematuria, proteinuria, acute renal failure",Cardiology
"Review the definitions of Asymptomatic HTN, HTN Urgency and HTN Emergency",Asymptomatic HTN: BP >140/90 without apparent symptoms; HTN Urgency: BP >180/110 but WITHOUT signs of end organ dysfunction; HTN Emergency: BP >180/110 WITH signs of end organ dysfunction,Cardiology
"Review appropriate ED management of Asymptomatic HTN, HTN Urgency and HTN Emergency","Asymptomatic: no workup needed (Cr = only screening test shown to change mgmt for ITE), no treatment needed, restart home meds (if any), refer to PMD; HTN Urgency: rule out end organ dysfunction (based on sx), gradually lower BP over 1-2d with PO meds (restart home or HCTZ, BB/CCB); HTN Emergency: if end organ dysfunction then goal 20-30% BP reduction (Nicardipine, Esmolol, Labetalol, Nitroglycerin, etc. based on sx)",Cardiology
What are the JNC 8 recommendations for BP meds in asmyptomatic HTN,"NOT a requirement to start in ED, but recommended (esp. for boards). Non-African-American: Thiazide, CCB, ACEI, ARB; African-American: Thiazide, CCB; CKD: ACEI or ARB",Cardiology
"What medications are best to lower BP in patients with severe HTN and the following: Encephalopathy, Aortic Dissection, Cocaine use, pregnancy, ACS/CHF","Encephalopathy: Nicardipine; Aortic Dissection: Beta blockers FIRST (Esmolol or labetalol to reduce rate & shear stress), ± Nitroprusside AFTER rate reduction); Cocaine use: benzos and phentolamine (no beta blockers); Pregnancy: IV Mg, Hydralazine, Labetalol (preeclampsia); ACS/CHF: Nitroglycerin",Cardiology
How should HTN be managed for Ischemic and Hemorrhagic Strokes?,"Ischemic Strokes: permissive HTN to protect penumbra up to 220/120 BUT reduce to <185/110 if considering tPA; Hemorrhagic: varied guidelines for BP control (good goal SBP 140 or MAP < 130), use CCBs to prevent vasospasm (PO Nimodipine = classic for boards)",Cardiology
What are potential non-cardiac causes of syncope?,"Aortic (Aortic dissection, ruptured AAA), neurologic (CVA, SAH, sz), bleeds (RP bleed, ruptured ecoptic or AAA, GI bleed), orthostatic (meds), reflex (vasovagal)",Cardiology
What is the differential for potential life-threatening cardiac causes of syncope?,"Dysrhythmias (VT), structural abnormalities (HOCM, critical aortic stenosis), electrical abnormalities (Brugada, WPW, Prolonged QT, arrhythmogenic right ventricular dysplasia), others (PE, MI); Screen all EKGs for these findings",Cardiology
What minimum workup should be completed on young female patients with syncope?,Pregnancy test (ruptured ectopic may only present with syncope),Cardiology
How is near syncope treated differently than syncope?,"They aren't, they have the same causes and should be worked up the same way",Cardiology
What is the overall most common cause of syncope?,Idiopathic (40-50%) > Vasovagal (~20%),Cardiology
"What factors make someone with syncope ""high risk"" requiring admission and significant workup?","San Francisco Syncope Rule: CHESS - Admit patients with CHF, Hct < 30, EKG that is abnormal, Shortness of Breath or Systolic BP < 90, as they are high risk for serious outcomes. Other high risk features: family history of sudden death, syncope with exertion, structural heart disease.",Cardiology
What EKG changes may be seen in a patient with WolffParkinson-White?,"Slurred upstroke of QRS (delta wave), wide QRS (QRS > 120ms), short PR interval (most common, PR < 120ms)",Cardiology
What EKG changes may be seen in a patient with Brugada Syndrome?,"Pseudo-RBBB, STE V1-3 (types: coved/downsloping STE followed by TWI, or ""saddle-back"" STE)",Cardiology
What EKG changes may be seen in a patient with Long QT?,End of T wave > 1/2 R to R interval,Cardiology
What EKG changes may be seen in a patient with Arrhythmogenic Right Ventricular Dysplasia?,Epsilon wave (postive notch at end of QRS),Cardiology
What is the underlying pathology in Arrhythmogenic Right Ventricular Displasia?,"Genetic abnormality, autosomal dominant, causes fibro-fatty infiltrate in RV (best seen on Cardiac MRI) that causes arrhythmogenic focus in RV (30% with epsilon wave) and predisposes for fatal arrhythmias; Rxantiarrhythmics, AICD",Cardiology
What EKG changes may be seen in a patient with Hypertrophic Obstructive Cardiomyopathy (HOCM)?,"LVH, LARGE voltages (tall QRS), deep/narrow Q waves (""needlelike"") in lateral (I, aVL, V5-6) and inferior (II, III, aVF) leads",Cardiology
What patients are higher risk for Aortic Dissection?,"Prolonged HTN, connective tissue disease (e.g. Marfan syndrome); also pregnancy, congenital heart disease, trauma",Cardiology
What are the classic clinical clues for diagnosis of Aortic Dissection?,"Acute onset severe pain chest pain radiating in direction of propogation (neck/arms vs back/abdomen); chest pain (most common) + something else = TAD; HTN = most common risk factor AND exam finding; can be associated with any sx linked to sequelae of dissection including new murmur, MI, CHF, renal insufficiency, mesenteric ischemia, new neuro deficits. Note BP can be high, low or normal",Cardiology
What is the most common XR finding in acute aortic dissection?,Mediastinal widening,Cardiology
What is the appropriate management and treatment of a patient with suspected Aortic Dissection?,"HR and BP control to decrease shear stress (Esmolol followed by Nitroprusside, or Labetalol), control pain, T&C x 10-15; if unstable consult cards/thoracic surgery with dispo to OR, consider bedside echo; if stable get CTA aortogram; **NEVER send unstable patient to CT**",Cardiology
What is the difference between Type A and Type B aortic dissections?,"Type A: Ascending Aorta, managed surgically; Type B: Descending Aorta, usually managed medically",Cardiology
What patients are higher risk for Ruptured AAA?,"Disease of arteriosclerosis (all the same risk factors): age > 60, males, family history, HTN, HL, smoking, CAD, connective tissue disease",Cardiology
Most common presentation for unruptured AAA?,Asymptomatic,Cardiology
What are the classic clinical clues for diagnosis of Ruptured AAA?,"Cooper's triad: sudden abdominal/flank pain + pulsatile abdominal mass + hypotension; Others: peripheral ischemia, syncope, sudden death",Cardiology
What size AAA is higher risk for rupture?,">3cm is pathological, >5.0cm is high risk and requires surgery",Cardiology
What is the appropriate management and treatment of a patient with suspected Ruptured AAA?,"Bedside US to eval for AAA, possible free fluid (though bleeding may be retroperitoneal), T&C x 10-15, emergent vascular surgery consult with dispo to OR ASAP; **DO NOT send unstable patient to CT scan**",Cardiology
History of repaired AAA with massive GI bleed,Aortoenteric fistula,Cardiology
Dx and Tx of Acute Arterial Occlusion,"Look for medical problems related to thromboemboli (Afib = most common embolic cause, MI, or endocarditis); 6 P's: pain (out of proportion to exam), pallor, pulselessness, poikilothermia, paresthesias, or paralysis; Dx: CT angio vs duplex US; emergent vascular surgery consultation; Rx: heparin vs thrombolysis vs embolectomy",Cardiology
How sensitive is Homan's sign for DVT?,Homans (pain in the calf on dorsiflexion of ankle while the knee is fuly extended) has 50% sensitivity,Cardiology
What are risk factors for DVT?,"Classic triad (Virchow's): stasis, + hypercoagulability + endothelial damage; acquired (persistent): age, active cancer, hx DVT/PE, antiphospholipid Ab; acquired (transient): recent surgery or major trauma, pregnancy, OCPs/HRT, paralysis/immobilized (3d within last 4wks); inherited- ATIII deficiency, Protein C/S deficiency, Factor V Leiden; examtender vein or distended superficial veins, unilateral calf swelling >3cm, unilateral pitting edema",Cardiology
What is the appropropriate workup for patients with clinical symptoms and low versus high risk of DVT?,Low risk: d-dimer ok; Moderate-high risk: d-dimer & duplex US (alt CT venography); if high risk may require serial dopplers & whole leg US,Cardiology
What is the appropriate management of isolated calf DVT?,Anticoagulation not required unless within 5cm of popliteal vein (ASA otherwise); repeat ultrasound (in 2-5d) to r/o propogation. This is only true for low risk pts w/ transient risk factors (such as recent travel).,Cardiology
what are considered distal veins in the evaluation of a DVT?,"Anything in the calf - infrapopliteal veins: posterior tibial, peroneal, anterior tibial. If a pt is low risk (e.g. NOT obese or prothormobic for any reason) and has a transient risk factor (e.g. recent travel, prolonged immobilization, ect …) distal DVTs can be monitored w/ repeat US and no anticoagulation.",Cardiology
"Review the definitions and EKG changes of 1st, 2nd, and 3rd degree AV Block","1st Degree: PR >200 and otherwise normal; 2nd Degree: Mobitz Type I (Wenckebach-increasing PR interval then dropped beat), Mobitz Type II (stable long PR, then sudden, non-conducted PR → dropped beat); 3rd Degree: P waves entirely dissociated from QRS",Cardiology
What types of heart block typically require pacemaker placement?,2nd degree (Mobitz Type II) and 3rd degree,Cardiology
What is the appropropriate treatment for unstable bradycardia?,"Atropine (may help if narrow QRS); Others: Dopamine, Epinephrine, Isoproterenol; Unstable: transcutaneous pacing (± transvenous pacing); Definitive Rx: permanent pacemaker",Cardiology
Review the general steps for transcutaneous pacing,"Sedate/pain control if able, place pacer pads, turn on pacing function, set rate 70-80, increase voltage until capture noted",Cardiology
Review the general steps for transvenous pacing,"Place IJ or SC cortis (smaller than trauma cortis), introduce catheter and inflate balloon, set pacer at 80 bpm and voltage to 20 mA, advance catheter to RV (will show LBBB pattern), deflate balloon, secure and decrease voltage to lowest setting with continued capture. **Preferred sites: RIJ and left subclavian**",Cardiology
Treatment for arrhythma and unstable patient,Electricity,Cardiology
What is most common side effect of amiodarone IV?,"Hypotension (due to solvent medication is in). Other side effects to monitor is LFTs, TFTs, pulmonary fibrosis, blue-gray discoloration of nose.",Cardiology
DDX for narrow complex tachyarrhythmia WITHOUT P waves; Treatment for stable patient,"AF, SVT, AVNRT, orthodromic AVRT; Treat with Adenosine or AV nodal blockers (and shock if instable!)",Cardiology
Differential for wide complex tachyarrhythmia without P waves; Treatment for stable patient,"VT (VF possible but likely unstable pt), SVT with BBB, Antidromic AVRT (e.g. WPW); Rx: Procainamide or Amiodarone; AVOID AV nodal blockers; Unstable- shock!",Cardiology
"What arrhythmia is associated with chaotic P waves, irregularly irregular rhythm?",Atrial Fibrillation; Rx- CCB or BB,Cardiology
"What arrhythmia is associated with ""sawtooth"" symmetrical P waves, regularly irregular rhythm?",Atrial Flutter; Rx- CCB or BB,Cardiology
"What arrhythmia is associated with multiple types of P waves, irregularly irregular rhythm",Multifocal Atrial Tachycardia; 2/2 pulmonary disease (COPD = most common cause); Rx- CCB or BB,Cardiology
What arrhythmia is associated with regular tachycardia and narrow QRS?,"AV nodal reentrant tachycardia (AVNRT) or Orthodromic Atrioventricular Reentrant Tachycardia (AVRT); Tx- Adenosine (first line), consider BB or CCB, shock (cardioversion)",Cardiology
What arrhythmia is associated with regular tachycardia and wide QRS?,"Antidromic Atrioventricular Reentrant Tachycardia (AVRT) OR Ventricular Tachycardia; Tx- Procainamide vs Amiodarone, consider Mag (shock if unstable); Avoid AV nodal blockers in these patients",Cardiology
What is the difference between Orthodromic and Antidromic Atrioventricular Reentrant Tachycardia (AVRT)?,Reentry circuit with accessory pathway (WPW- Bundle of Kent); Orthodromic travels anterograde down AV node and back up accessory pathway resulting in regular and narrow QRS complex (looks like SVT); Antidromic travels anterograde down accessory pathway and back up AV node (retrograde) resulting in regular and wide QRS complex (looks like VT). Tx antidromic w. Procainamide.,Cardiology
What is the appropriate management of a patient with tachydysrhythmia and suspected WPW?,"Procainamide or Amiodarone if stable; Shock if unstable; AVOID AV nodal blockers. If any signs of WPW (delta wave, short PR) or borderline wide QRS, presume WPW and avoid AVNBs",Cardiology
What arrhythmia is associated with multiple chaotic ventricular foci that are wide and irregular?,Ventricular Fibrillation; shock (defibrillate),Cardiology
What BP measurements define Stage I and Stage II HTN?,Stage I HTN: systolic 140-159 mmHg or diastolic 90-99 mmHg; Stage II HTN: systolic >160 mmHg or diastolic >100 mmHg,Cardiology
What EKG findings suggest Ventricular Aneurysm?,"Persistent STE > 2wks after known MI (and lack of reciprocal changes), most often in precordial leads (V3-5); Others: Q or QS waves, T waves small relative to QRS, reciprocal changes absent",Cardiology
"What is ""Holiday Heart Syndrome"" and how should it be treated?","Typically atrial arrhythmia (Afib) after excessive ETOH intake; Rxobservation (if stable), typically self-resolves within 48hr",Cardiology
What EKG findings confirm a diagnosis of Ventricular Tachycardia?,"AV dissociation, QRS > 120, HR > 100, fusion beats & capture beats (both help distinguish from SVT)",Cardiology
What is the most common cause of Cor Pulmonale?,"Cor Pulmonale = R heart failure 2/2 respiratory disease; COPD = most common CHRONIC cause; PE = most common ACUTE cause; otherspulm fibrosis, ILD, pulmonary HTN, sleep apnea",Cardiology
What are contraindications for Coumadin with known AFib?,"Alcoholism, recent trauma or surgery, respiratory bleeding, active GI bleeding, GU bleeding, ICH, or significant risk of falls",Cardiology
Review CHA2DS2VASc scoring to determine need for anticoagulation with AFib,"CHF (1), HTN (1),Age ≥75 (2), DM (1), Stroke (2), Female (1); Rx- Low risk (0)- ASA or none, intermediate risk (1)- consider AC, high risk (≥ 2)start AC",Cardiology
How are vitals assessed on a patient with an LVAD?,"Blood pumped by machine from LV to aorta, no pulse will be present, need to check with BP cufff to obtain MAP (goal 70-80).",Cardiology
Pt with an LVAD and elevated LDH?,Think pump thrombosis. Thrombosis leads to hemolysis which then leads to elevated LDH. LDH levels are typically > 1000,Cardiology
What is the most common site for infection in a LVAD?,"Drive line, followed by pump pocket",Cardiology
What characterization of chest pain is most consistent with a cardiac cause?,Radiation of pain down to Right arm > radiation down both arms > radiation down Left arm,Cardiology
What is the path of electrical conduction during a normal cardiac cycle?,SA node → R atrium → AV node → Bundle of His → Bundle branches → Purkinje fibers,Cardiology
What are the most appropriate locations for central line placement prior to transvenous pacing?,"Right IJ (preferred), L Subclavian (these offer the most direct routes to the heart)",Cardiology
What happens when a magnet is placed over an AICD?,It disables defibrillation and switches to pacing mode; should be done if pt is receiving inappropriate shocks. Note all AICDs are also pacemakers (on XR AICDs have a thicker wire in the distal lead),Cardiology
What is oversensing in a pacemaker?,When a pacemaker interprets signal noise as native heart beats and does not generate a paced beat. Tx: place magnet over the pacemaker to switch it back to pacer mode. This will present as an individual with a pacemaker that is bradycardic and symptomatic and w/o pacer spikes on the ekg.,Cardiology
What is the appropriate managment of a patient with an AICD with unstable VT?,Immediate electrical cardioversion for AICD/pacemaker malfunction,Cardiology
"With cardiac arrest, what drugs can be given to adult and pediatric patients by ET tube?","NAVEL (adults): Narcan, Atropine, Vasopressin, Epinephrine, Lidocaine LANE (peds): all except vasopressin",Cardiology
What medications should be used in stable ventricular tachycardia?,"Amiodarone, procainamide, lidocaine",Cardiology
At what heart score should a patient be admitted for further objective cardiac testing?,"Heart score fo 4-6 is moderate risk (12-16.6% risk of major adverse cardiac event), >7 (50-65% risk of major adverse cardiac event warrants cardiology consult in addition to admission)",Cardiology
What medication should be administered for patients in asystole or pulsless electrical activity?,Epinephrine 1mg IV every 3 to 5 minutes (these or not shockable rhythms),Cardiology
What class of antiarrhythmics categories has a similar mechnism of action as Tricyclic Antidepressants (TCA)?,"Class 1A drugs (quinidine, procainamide, disopyramide) work by inhibiting fast sodium channels similar to TCA (will have prolonged QRS duration, prolonged action potentional, lengthening of QT interval).",Cardiology
What EKG finding are associated with hypothermia?,Bradycardia and J waves or Osborne waves (upward deflection at the terminal portion of the QRS complex).,Cardiology
What physical exam findings associated with aortic stenosis?,"Crescendo-decrescendo systolic mumur that radiates to the carotids, S4 gallop, paradoxically split s2. Murmur decreases with valsalva.",Cardiology
What medication if given to patients with pericarditis has risk of causing recurrance?,Prednisone (steroids),Cardiology
"Definition, Etiology, SSx and Tx: Constrictive Pericarditis","Definition: Scarring and loss of elasticity of pericardial sac. Etiology: idiopathic, infectious, post radiation, post cardiac surgery. SSx: w/ fluid overload, diminished CO, Kussmaul sign. Tx is pericardioectomy.",Cardiology
"SSx, Dx and Tx: Atrial Myxoma","SSx: right heart or left heart failure, embolic phenomena, constitutional symptom. Dx by Echocardiogram. Tx: Surgical removal by sternotomy. (Most common cardiac tumor!)",Cardiology
What complication happens two weeks after STEMI that increases risk for thrombus formation?,"Left ventricular aneusrym. EKG will have persistent ST segement elevation. Treatment with ACE inhibitors, anticoagulation if mural thrombus present and Aneursmectomy if refractor to medical therapy.",Cardiology
Difference between tension PTX and pericardial tamponade (for boards),"Tension pneumothorax: tracheal deviation, decreased breath sounds, subQ air. Pericardial tamponade: decreased heart sounds. BOTH will have JVD, hypotension, tachycardia",Trauma
How to determine GCS,"E4 V5 M6; Eyes: 4- Spontaneous, 3- Voice, 2- Pain, 1- None; Voice: 5Normal, 4- Confused, 3- Words, 2- Sounds, 1- None; Motor: 6- Follows commands, 5- Localizes pain, 4- Withdraws to pain, 3- DeCORticate (arms to CORE; flexed), 2- Decerebrate (extended) posturing, 1- None; GCS < 8 intubate",Trauma
How to determine ACS Class of Hemorrhagic Shock,"I: Normal vitals (<15% loss, 750cc), II: Tachy, but normal BP with ↓ PP (15-30% loss, 750-1.5L), III: Hypotension (30-40% loss, 1.5-2L), IV: AMS-confused/lethargic (>40%, >2L)",Trauma
Vital sign changes with brain herniation,"Cushing's reflex (2/2 inc ICP): hypertension, bradycardia, irregular respirations",Trauma
"Compare subfalcine, uncal and tonsillar herniation","Subfalcine: most common, frontal lobe under falx, ssx abnormal gait; Uncal: temporal lobe under cerebellar tentorium, ssx CN3 palsy (blown pupil, down and out), ipsilateral hemiparesis, coma; Tonsillar: rare, brainstem herniation, coma and death",Trauma
Traumatic injuries CT can commonly miss,"Diaphragmatic injury, pancreas injury, basilar skull fracture, hollow viscus injuries",Trauma
